label,statement
False,There is Kevin.
False,Steve is there.
False,Mike is a person.
False,Here is a grandfather.
False,These are sons.
False,The grandfathers are here.
False,He is there.
False,They are sons.
False,That is a grandfather.
False,Here is a male.
False,Here is Greg.
False,That is Jeff.
False,This is Bill.
False,There is a boy.
False,Here is John.
False,He is here.
False,That is a boy.
False,The father is here.
False,That is Paul.
False,Here is a son.
False,The sons are there.
False,That is a son.
False,Greg is a person.
False,The males are there.
False,That is a brother.
False,An uncle is a person.
False,There is Greg.
False,The males are here.
False,Here is Mike.
False,This is a father.
False,The brother is here.
False,This is Paul.
False,The grandfather is here.
False,They are boys.
False,His is here.
False,Mike is there.
False,Those are men.
False,Mike is here.
False,That is Bill.
False,The boy is here.
False,Bill is here.
False,The fathers are here.
False,Greg is there.
False,The grandfathers are there.
False,Jeff is a person.
False,Here is his.
False,Steve is a person.
False,Here is a father.
False,It is his.
False,The fathers are there.
False,The brothers are here.
False,These are grandfathers.
False,There is Mike.
False,Paul is a person.
False,A brother is a person.
False,Steve is here.
False,This is his.
False,That is an uncle.
False,The person's name is Greg.
False,Those are fathers.
False,Kevin is there.
False,They are uncles.
False,They are grandfathers.
False,Here is Bill.
False,Here he is.
False,There is Steve.
False,These are brothers.
False,That is his.
False,This is Mike.
False,The boys are here.
False,This is a son.
False,Here is a brother.
False,There is a male.
False,The man is there.
False,A grandfather is a person.
False,These are fathers.
False,The men are there.
False,Uncles are people.
False,The person's name is Steve.
False,The men are here.
False,The son is there.
False,There is an uncle.
False,Those are grandfathers.
False,The person's name is Bill.
False,Those are uncles.
False,There he is.
False,That is a father.
False,That is Greg.
False,A boy is a person.
False,There is Bill.
False,Here is an uncle.
False,These are men.
False,The uncle is here.
False,These are boys.
False,Here is Paul.
False,This is Jeff.
False,That is John.
False,That is Kevin.
False,Here is a man.
False,Kevin is a person.
False,The brother is there.
False,His is there.
False,The brothers are there.
False,Those are sons.
False,That is him.
False,Here is Kevin.
False,The grandfather is there.
False,John is here.
False,Bill is a person.
False,The male is there.
False,There is Paul.
False,These are males.
False,Paul is there.
False,This is an uncle.
False,This is a grandfather.
False,Men are people.
False,A male is a person.
False,It is him.
False,There is a grandfather.
False,There is a son.
False,Jeff is here.
False,There is John.
False,They are brothers.
False,There is a father.
False,This is Kevin.
False,Those are brothers.
False,That is a male.
False,There is a man.
False,Those are boys.
False,Brothers are people.
False,Boys are people.
False,Jeff is there.
False,Sons are people.
False,There is Jeff.
False,They are fathers.
False,The person's name is John.
False,This is Steve.
False,The man is here.
False,Bill is there.
False,Greg is here.
False,The male is here.
False,Paul is here.
False,The person's name is Kevin.
False,The uncle is there.
False,John is a person.
False,Here is Steve.
False,A man is a person.
False,That is Mike.
False,There is a brother.
False,This is John.
False,The uncles are here.
False,This is a man.
False,There is his.
False,These are uncles.
False,Males are people.
False,Those are males.
False,This is a boy.
False,A father is a person.
False,They are men.
False,Here is a boy.
False,Grandfathers are people.
False,A son is a person.
